    BicycleBmxTeal, {x:1.84, y:1.02, z:1.29}
    Train Track 6 M V02, {x:2.44, y:6.00, z:0.34}
    SpaceShip 01, {x:3.51, y:5.06, z:1.93}
    CreamWindow, {x:2.00, y:0.40, z:4.00}
    PinkWindowLarge, {x:2.00, y:0.40, z:4.00}
    WhiteRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    Steampunk Chair, {x:0.73, y:0.88, z:1.86}
    Deck 5M V04, {x:5.10, y:2.19, z:3.71}
    Manhole Purple, {x:1.80, y:0.07, z:1.79}
    Dagger 01, {x:0.53, y:1.45, z:0.09}
    HWN20 Tree 05, {x:3.70, y:3.18, z:4.89}
    Terminal 01, {x:1.16, y:1.22, z:2.20}
    Door Marco Normal, {x:1.22, y:0.16, z:2.45}
    Ceiling 4x4M, {x:4.00, y:4.00, z:0.13}
    Bonfire 2, {x:0.63, y:0.54, z:1.74}
    Train Track 10 M Curve, {x:10.39, y:10.41, z:0.34}
    FloorHexa 02, {x:1.00, y:1.99, z:0.09}
    Plant 1, {x:2.09, y:2.13, z:1.26}
    WhiteRoof 1Edge, {x:4.00, y:4.00, z:0.70}
    Door 8, {x:0.98, y:0.09, z:2.27}
    GreyRoof Corner Small, {x:2.00, y:2.00, z:0.70}
    Mushroom Red, {x:1.00, y:1.00, z:1.00}
    Train Track 11 M Fork V02, {x:8.46, y:11.00, z:0.35}
    Grafitti Wall Short G, {x:2.01, y:0.64, z:2.00}
    HighStool, {x:0.58, y:0.58, z:0.98}
    Planet 03, {x:4.65, y:4.42, z:4.64}
    TrainTrack Curve 01, {x:1.73, y:1.75, z:0.06}
    Road Cobble End, {x:2.00, y:1.90, z:0.04}
    TV Games Console, {x:1.33, y:1.01, z:1.60}
    ChineseStatuePig 01, {x:0.75, y:0.78, z:0.84}
    ConstructionScene 01, {x:7.32, y:7.22, z:2.35}
    MetalRoof Corner Small, {x:2.00, y:2.00, z:0.70}
    Door 10, {x:1.00, y:0.17, z:2.30}
    Fence Wood V4 Entry, {x:2.94, y:0.15, z:1.63}
    LightCube 02, {x:0.83, y:0.75, z:0.36}
    Grafitti Wall Short C, {x:2.00, y:0.63, z:2.00}
    OrangeRoof Small, {x:2.00, y:2.00, z:0.20}
    PlantPot 01, {x:1.40, y:1.38, z:1.61}
    BlackWindow, {x:2.00, y:0.40, z:4.00}
    Train Coal Tender, {x:2.58, y:6.36, z:2.89}
    Lava 03, {x:1.00, y:1.00, z:1.00}
    HWN20 Bat UpsideDown, {x:0.14, y:0.18, z:0.61}
    GlassRoof Corner Small, {x:2.00, y:2.00, z:0.70}
    Sink Counter, {x:3.24, y:1.37, z:1.66}
    Umbrella 02, {x:2.78, y:2.78, z:2.80}
    Carpet 01, {x:3.71, y:0.04, z:3.69}
    Stone Dirt Snow, {x:1.00, y:1.00, z:1.00}
    HWN20 Skull 02, {x:0.32, y:0.21, z:0.25}
    GlassRoof 2Edges, {x:4.00, y:4.00, z:0.70}
    PlasmaYellow 01, {x:0.22, y:0.26, z:0.39}
    Map 03, {x:0.65, y:0.61, z:0.11}
    SolarPanel 01, {x:1.37, y:0.44, z:0.99}
    GlassRoof 3Edges, {x:4.00, y:4.00, z:0.70}
    HWN20 Tree 01, {x:3.70, y:3.18, z:4.89}
    Droid 01, {x:0.90, y:0.85, z:1.27}
    Banner Red 01, {x:0.93, y:0.08, z:2.54}
    CreamRoof, {x:4.00, y:4.00, z:0.20}
    G Red, {x:0.50, y:0.08, z:0.50}
    Pumpkin Green, {x:1.00, y:1.00, z:1.00}
    Grass Module 1M, {x:1.00, y:1.00, z:0.02}
    Furnit 4 Desk, {x:1.70, y:0.90, z:1.24}
    Grass 04, {x:1.10, y:1.63, z:1.24}
    SkirtingBoard 01, {x:1.00, y:0.03, z:0.12}
    Crate 01, {x:0.75, y:0.75, z:0.74}
    Log 04, {x:0.60, y:0.62, z:0.11}
    HWN20 Spider 01, {x:0.02, y:0.10, z:0.43}
    Train Wood Stopper, {x:3.07, y:1.93, z:1.81}
    JunglePlant 04, {x:2.06, y:1.99, z:1.91}
    Leather, {x:1.46, y:1.70, z:0.02}
    Chair 02, {x:0.60, y:0.66, z:1.37}
    NeonLightTube 06, {x:1.71, y:0.14, z:0.13}
    Hello, {x:0.94, y:0.07, z:0.46}
    Chest Top Iron 01, {x:1.39, y:1.08, z:0.59}
    Mines Wood Fence3 4M, {x:3.87, y:0.19, z:1.62}
    Ground 10 M Long, {x:3.57, y:11.42, z:0.44}
    Fence End 01, {x:2.06, y:0.11, z:1.11}
    Concrete Wall Short, {x:2.00, y:0.60, z:2.00}
    FarmVegetation 01, {x:4.00, y:1.57, z:1.00}
    MetalBoltsWall, {x:2.00, y:0.45, z:4.00}
    HorizontalBoardCorner, {x:2.03, y:2.03, z:4.00}
    Ornament 03, {x:0.19, y:0.03, z:0.37}
    TableSciFi 02, {x:2.66, y:1.33, z:0.98}
    GreenBoardsWindow, {x:2.00, y:0.40, z:4.00}
    LightCross 01, {x:1.88, y:1.25, z:0.38}
    GreyRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    Wood 3, {x:4.59, y:0.13, z:1.67}
    Telephone Pole 3, {x:0.91, y:8.89, z:4.93}
    Light 01, {x:0.39, y:0.34, z:1.25}
    Carriage 01, {x:3.89, y:2.30, z:1.54}
    Pipe Tip, {x:0.51, y:2.59, z:0.51}
    Barrel 01, {x:0.96, y:0.95, z:1.12}
    WallCloths Blue 01, {x:4.08, y:0.75, z:1.53}
    YellowFloor Small, {x:2.00, y:2.00, z:0.01}
    Gem 05, {x:0.20, y:0.13, z:0.37}
    MetalRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    FancyCorner, {x:2.11, y:2.11, z:4.00}
    Dirt 02, {x:3.34, y:2.96, z:0.62}
    Switch, {x:0.28, y:0.44, z:0.49}
    Hallway Module Door 02, {x:6.24, y:0.20, z:3.80}
    PalmTree 01, {x:9.06, y:4.76, z:6.28}
    Light Decor8, {x:0.00, y:0.00, z:0.00}
    Mines Model 16 M, {x:18.42, y:11.60, z:4.71}
    BathroomTilesDoorframe, {x:2.00, y:0.36, z:4.00}
    Water, {x:1.00, y:1.00, z:1.00}
    Chest Gear, {x:1.20, y:1.25, z:1.12}
    HWN20 Ghost 03, {x:0.12, y:0.85, z:0.83}
    R Red, {x:0.50, y:0.08, z:0.50}
    House 8 M Brown, {x:8.87, y:9.51, z:8.80}
    WhiteRoof 3Edges Small, {x:2.00, y:2.00, z:0.70}
    Pod 02, {x:1.40, y:1.40, z:1.66}
    GroundFloorSciFi 02, {x:16.00, y:16.00, z:0.02}
    Fruit 4, {x:0.51, y:0.54, z:0.48}
    CityTile, {x:0.00, y:0.00, z:0.00}
    FloorBlock 01, {x:2.00, y:0.06, z:2.00}
    GreenRoof 1Edge Small, {x:2.00, y:2.00, z:0.70}
    Window 2x4 V3 Frame, {x:1.42, y:0.36, z:2.23}
    Vase 03, {x:0.28, y:0.32, z:0.87}
    Cable 4M 03, {x:0.44, y:4.00, z:0.12}
    LimeFloor Small, {x:2.00, y:2.00, z:0.01}
    Zebra Crossing, {x:13.99, y:6.23, z:0.06}
    Column 01, {x:0.61, y:0.61, z:3.05}
    RedRoof Small, {x:2.00, y:2.00, z:0.20}
    Gear Small 03, {x:0.60, y:0.60, z:0.31}
    Gear Small 02, {x:0.68, y:0.73, z:0.30}
    PlantCorner, {x:2.09, y:2.09, z:4.00}
    BlueFloor Small, {x:2.00, y:2.00, z:0.01}
    LightWall 01, {x:0.27, y:0.56, z:0.15}
    BlackRoof, {x:4.00, y:4.00, z:0.20}
    FishSkeleton 01, {x:0.39, y:0.16, z:0.04}
    Cable 4M 02, {x:1.48, y:4.00, z:0.18}
    Vase 02, {x:0.75, y:0.67, z:0.99}
    Charger 01, {x:0.67, y:0.58, z:1.44}
    WoodenBoardDoorframe, {x:2.00, y:0.36, z:4.00}
    Fruit 5, {x:0.53, y:0.53, z:0.48}
    Steampunk Desk, {x:2.05, y:1.17, z:1.03}
    GroundFloorSciFi 03, {x:16.00, y:16.00, z:0.02}
    Bulletin Post, {x:1.93, y:2.02, z:3.41}
    Chest Pirates, {x:1.47, y:0.65, z:0.37}
    GreenDoorframe, {x:2.00, y:0.30, z:4.00}
    HorizontalBoardDoorframe, {x:2.00, y:0.36, z:4.00}
    HWN20 Ghost 02, {x:0.15, y:0.77, z:1.02}
    Solid Multicolor, {x:1.00, y:1.00, z:1.00}
    Pod 03, {x:3.83, y:1.86, z:1.91}
    ConstructionHat 01, {x:0.41, y:0.23, z:0.47}
    GrassPatchSmall 06, {x:2.75, y:3.08, z:0.27}
    Hallway Big Module 01, {x:16.24, y:16.24, z:4.19}
    BlackRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    ConstructionLight 01, {x:0.81, y:0.81, z:1.43}
    Dirt 03, {x:2.27, y:2.20, z:0.71}
    Light Decor9, {x:0.00, y:0.00, z:0.00}
    Manhole White, {x:1.80, y:0.07, z:1.79}
    ArrowWall, {x:2.00, y:0.38, z:4.00}
    Mines Runway 3M, {x:1.07, y:3.00, z:0.11}
    Fence Black Red, {x:22.70, y:0.23, z:3.96}
    GlassDoorframe, {x:2.00, y:0.30, z:4.00}
    TwoColouredCorner, {x:2.00, y:2.00, z:4.00}
    Rubbish Recycling, {x:2.57, y:1.22, z:1.22}
    Ice, {x:1.00, y:1.00, z:1.00}
    Cable Adapter 01, {x:0.19, y:0.30, z:0.19}
    BlueRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    Gem 04, {x:0.39, y:0.39, z:0.28}
    Gem 10, {x:0.39, y:0.35, z:0.40}
    Telephone Pole 2, {x:0.90, y:4.89, z:4.93}
    RockSand 06, {x:4.27, y:4.79, z:3.85}
    LEDGridDoorframe, {x:2.00, y:0.30, z:4.00}
    DarkGreyRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    Wood 2, {x:3.43, y:0.42, z:0.15}
    CorrugatedMetalWindow, {x:2.00, y:0.40, z:4.00}
    RockSmall 01, {x:0.81, y:0.87, z:0.22}
    Ornament 02, {x:0.19, y:0.03, z:0.37}
    Barrel 1, {x:0.72, y:0.95, z:0.72}
    Canopy 02, {x:4.24, y:4.67, z:8.44}
    GreenRoof, {x:4.00, y:4.00, z:0.20}
    TurquoiseTileDoorframe, {x:2.00, y:0.30, z:4.00}
    JunglePlant 05, {x:0.36, y:0.37, z:0.26}
    Ground 7 M Square, {x:6.74, y:6.90, z:0.46}
    NeonLightTube 07, {x:1.71, y:0.14, z:0.13}
    Chair 03, {x:0.60, y:0.68, z:1.34}
    PlanetFloorRed 02, {x:16.00, y:16.00, z:0.24}
    Window 1x2 Closed, {x:1.15, y:0.16, z:1.65}
    Grass 05, {x:0.55, y:0.56, z:1.18}
    PinkFloor, {x:4.00, y:4.00, z:0.01}
    Spear 01, {x:0.09, y:0.08, z:1.96}
    Woodplanks, {x:1.00, y:1.00, z:1.00}
    Bed King, {x:1.88, y:2.63, z:1.22}
    Trough, {x:2.12, y:0.75, z:0.46}
    Gear Shaft, {x:0.42, y:0.48, z:1.27}
    Stone Module 4M, {x:4.00, y:4.00, z:0.08}
    Window 1x4 Glass Panel, {x:0.50, y:0.11, z:1.65}
    Window 1x2 V4 Frame, {x:1.42, y:0.35, z:2.02}
    Mines Model Ramp, {x:6.89, y:14.80, z:4.33}
    GreyRoof 1Edge Small, {x:2.00, y:2.00, z:0.70}
    X Blue, {x:0.50, y:0.08, z:0.50}
    HexagonGridCorner, {x:2.03, y:2.02, z:4.00}
    Train Track 8 M Curve, {x:4.15, y:7.48, z:0.34}
    Awning 7M, {x:7.00, y:2.19, z:3.71}
    Sand Stones, {x:16.00, y:16.00, z:0.02}
    ChineseFireworks 01, {x:1.09, y:1.05, z:1.60}
    Y Blue, {x:0.50, y:0.08, z:0.50}
    FancyDoorframe, {x:2.00, y:0.51, z:4.00}
    HWN20 Skull 03, {x:0.32, y:0.21, z:0.25}
    HorizontalBoardWall, {x:2.00, y:0.36, z:4.00}
    Bench 02, {x:0.74, y:0.51, z:0.74}
    Solid Grass, {x:1.00, y:1.00, z:1.00}
    Ceiling Lamp 02, {x:0.53, y:0.56, z:2.83}
    Deck 5M V01, {x:5.00, y:2.00, z:0.71}
    GreenHouse 02, {x:25.01, y:11.48, z:5.47}
    StoneFloor, {x:4.00, y:4.00, z:0.01}
    Light Wall, {x:0.73, y:0.50, z:0.58}
    NavyFloor Small, {x:2.00, y:2.00, z:0.01}
    Road End, {x:2.00, y:1.91, z:0.04}
    Lava 02, {x:1.00, y:1.00, z:1.00}
    ConstructionFence 02, {x:0.47, y:2.80, z:1.30}
    Coffee Table, {x:1.47, y:1.21, z:0.47}
    Door 01, {x:1.65, y:0.44, z:3.24}
    GreenRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    NavyCushion, {x:0.63, y:0.13, z:0.63}
    Warning Tape, {x:6.12, y:0.14, z:0.14}
    Grass 1, {x:2.08, y:1.87, z:0.84}
    Grafitti Wall Short B, {x:2.00, y:0.60, z:2.00}
    CreamWindowLarge, {x:2.00, y:0.40, z:4.00}
    SimpleRoof, {x:4.43, y:4.00, z:1.41}
    LightCube 03, {x:0.83, y:0.75, z:0.36}
    Grass 3, {x:2.37, y:2.32, z:0.82}
    LightCube 01, {x:0.83, y:0.75, z:0.36}
    Planet 04, {x:6.23, y:7.12, z:4.02}
    Solid Violet Pattern, {x:1.00, y:1.00, z:1.00}
    Bar Green, {x:6.13, y:1.34, z:1.55}
    Furnace 4 Pipe, {x:0.47, y:0.47, z:2.60}
    Diamond, {x:1.00, y:1.00, z:1.00}
    Furnace 5 Pipe, {x:0.41, y:0.41, z:1.50}
    PlantPot 02, {x:1.13, y:0.55, z:2.49}
    DiagonalTileWall, {x:2.00, y:0.34, z:4.00}
    Axe 01, {x:0.29, y:0.08, z:0.63}
    PeachCorner, {x:2.00, y:2.00, z:4.00}
    WhiteRoof Small, {x:2.00, y:2.00, z:0.20}
    Fence 01, {x:1.35, y:0.10, z:0.81}
    Umbrella 01, {x:3.06, y:3.34, z:3.06}
    CreamRoof Corner, {x:4.00, y:4.00, z:0.70}
    Road Cobble Cross Short, {x:4.00, y:4.00, z:0.04}
    Flying Car Black, {x:2.79, y:4.98, z:2.22}
    FenceStoneTallMedium 01, {x:0.27, y:3.06, z:1.82}
    Carpet 02, {x:3.45, y:2.00, z:0.04}
    PlainOrangeWall, {x:2.00, y:0.40, z:4.00}
    WhiteRoof 1Edge Small, {x:2.00, y:2.00, z:0.70}
    GreenGreyWindow, {x:2.00, y:0.40, z:4.00}
    Deck 5M V03, {x:5.10, y:2.20, z:3.71}
    Vegetation 08, {x:1.54, y:1.32, z:0.79}
    HWN20 Candle 21, {x:0.17, y:0.19, z:0.48}
    Hammock 01, {x:1.11, y:4.62, z:0.62}
    Parking Lot Sign, {x:0.88, y:0.16, z:2.46}
    HWN20 Tree 02, {x:3.19, y:2.60, z:4.92}
    HWN20 Candle 09, {x:0.17, y:0.19, z:0.46}
    Droid 02, {x:0.84, y:0.86, z:0.84}
    DocksPillar 01, {x:1.84, y:0.22, z:1.36}
    Mines Tunel Curve, {x:6.14, y:6.99, z:3.45}
    HWN20 Skull 01, {x:0.32, y:0.21, z:0.25}
    Chest Tube Key, {x:0.84, y:0.31, z:0.31}
    PlainPistachioWall, {x:2.00, y:0.40, z:4.00}
    SignD, {x:2.30, y:1.76, z:2.50}
    GlassRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    Banner Red 02, {x:1.89, y:0.08, z:2.22}
    HWN20 Spider 02, {x:0.03, y:0.10, z:0.47}
    Window 1x2 V3 Closed, {x:1.41, y:0.48, z:1.75}
    Table Dinner 01, {x:3.68, y:3.68, z:1.11}
    Woodplank Light Red, {x:1.00, y:1.00, z:1.00}
    SkirtingBoard 02, {x:1.00, y:0.05, z:0.10}
    Crate 02, {x:0.75, y:0.75, z:0.73}
    Old TV, {x:0.74, y:0.75, z:1.61}
    Wall Stone Small, {x:1.00, y:0.30, z:1.00}
    BlackRoof 3Edges, {x:4.00, y:4.00, z:0.70}
    Barrel 3, {x:0.72, y:0.72, z:0.96}
    Fortune Cat Statue, {x:1.62, y:1.49, z:2.04}
    Chair 01, {x:0.77, y:0.85, z:1.20}
    Warning Sign, {x:1.15, y:0.12, z:2.44}
    NeonLightTube 05, {x:1.71, y:0.14, z:0.13}
    JunglePlant 07, {x:1.58, y:1.65, z:1.93}
    BlackRoof 2Edges, {x:4.00, y:4.00, z:0.70}
    TableSciFi 01, {x:0.93, y:0.93, z:1.02}
    LightCross 02, {x:1.88, y:1.25, z:0.38}
    FarmVegetation 02, {x:4.00, y:0.64, z:1.00}
    RockSmall 03, {x:0.76, y:0.53, z:0.34}
    Paper Ball, {x:0.20, y:0.22, z:0.13}
    Sushi Plate, {x:0.38, y:0.29, z:0.01}
    Gem 06, {x:0.31, y:0.06, z:0.31}
    Light Wheel, {x:1.86, y:1.85, z:1.25}
    Barrel 02, {x:0.98, y:0.95, z:1.16}
    WhiteRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    RockSand 04, {x:6.51, y:6.18, z:3.21}
    MagnoliaFloor Small, {x:2.00, y:2.00, z:0.01}
    Light 02, {x:0.26, y:0.26, z:1.25}
    Hallway Module Door 01, {x:6.03, y:0.20, z:3.80}
    PalmTree 02, {x:5.77, y:6.18, z:7.58}
    Pink Fantasy Button, {x:0.49, y:0.49, z:0.09}
    GlassRoof 1Edge Small, {x:2.00, y:2.00, z:0.70}
    Dirt 01, {x:4.46, y:3.99, z:0.62}
    CrateBlue 01, {x:1.18, y:0.66, z:0.54}
    GrassPatchSmall 04, {x:3.09, y:3.27, z:0.25}
    WoodenBoardWall, {x:2.00, y:0.36, z:4.00}
    MetalRoof 3Edges Small, {x:2.00, y:2.00, z:0.70}
    ConstructionLadder 01, {x:1.53, y:0.86, z:2.37}
    NavyWindow, {x:2.00, y:0.40, z:4.00}
    GroundFloorSciFi 01, {x:16.00, y:16.00, z:0.02}
    GrassPatchLarge 01, {x:5.18, y:5.18, z:0.13}
    Pod 01, {x:1.60, y:1.62, z:2.94}
    Window 2x4 Open, {x:1.74, y:0.55, z:1.94}
    N Red, {x:0.50, y:0.08, z:0.50}
    HWN20 SmallBrokenFence, {x:0.52, y:0.81, z:0.46}
    FloorBlock 02, {x:2.00, y:0.08, z:2.00}
    GreyRoof 3Edges Small, {x:2.00, y:2.00, z:0.70}
    YellowRoof 1Edge Small, {x:2.00, y:2.00, z:0.70}
    FenceStonePillar 01, {x:0.47, y:0.47, z:1.42}
    BeigeCorner, {x:2.00, y:2.00, z:4.00}
    Street Cross, {x:1.50, y:0.22, z:2.50}
    PinkRoof 3Edges, {x:4.00, y:4.00, z:0.70}
    GlassRoof, {x:4.00, y:4.00, z:0.20}
    Gear Small 01, {x:0.68, y:0.73, z:0.31}
    StonePathCurve 01, {x:2.00, y:1.99, z:0.06}
    PinkRoof 2Edges, {x:4.00, y:4.00, z:0.70}
    Fruit 6, {x:0.53, y:0.54, z:0.48}
    BlueRoof Corner Small, {x:2.00, y:2.00, z:0.70}
    Vase 01, {x:0.64, y:0.64, z:0.98}
    PurpleDoorframe, {x:2.00, y:0.30, z:4.00}
    Cable 4M 01, {x:0.42, y:4.06, z:0.12}
    DarkGreyRoof 3Edges Small, {x:2.00, y:2.00, z:0.70}
    Charger 02, {x:0.77, y:0.46, z:0.53}
    FloorBlock 03, {x:2.00, y:0.09, z:2.00}
    HWN20 Ghost 01, {x:0.15, y:0.99, z:1.23}
    Diamond Pattern Red, {x:1.00, y:1.00, z:1.00}
    Window 2x4 Closed, {x:1.15, y:0.16, z:1.94}
    CreamRoof 1Edge, {x:4.00, y:4.00, z:0.70}
    GrassPatchSmall 05, {x:2.93, y:2.85, z:0.29}
    Road Straight Short, {x:1.00, y:2.02, z:0.04}
    R Blue, {x:0.50, y:0.08, z:0.50}
    Cable Adapter 02, {x:0.29, y:0.29, z:0.19}
    BlackRoof 3Edges Small, {x:2.00, y:2.00, z:0.70}
    TurquoiseFloor, {x:4.00, y:4.00, z:0.01}
    S Blue, {x:0.50, y:0.08, z:0.50}
    Window 2x2 V2 Closed, {x:1.42, y:0.35, z:1.82}
    RockSand 05, {x:9.23, y:9.93, z:4.60}
    Soup Bowl, {x:0.29, y:0.29, z:0.07}
    Solid Green, {x:1.00, y:1.00, z:1.00}
    Light 03, {x:0.64, y:0.64, z:0.31}
    Telephone Pole 1, {x:0.88, y:0.89, z:4.93}
    Gem 07, {x:0.22, y:0.22, z:0.40}
    RockSmall 02, {x:1.00, y:0.60, z:0.33}
    Ornament 01, {x:0.34, y:0.09, z:0.93}
    FenceStonePillarTall 01, {x:0.47, y:0.47, z:2.11}
    FarmVegetation 03, {x:4.00, y:1.18, z:1.00}
    Wheel 01, {x:1.08, y:0.13, z:1.07}
    Wood 1, {x:5.29, y:0.24, z:0.69}
    BeachDoorframe, {x:2.00, y:0.36, z:4.00}
    LightCross 03, {x:1.88, y:1.25, z:0.38}
    NeonLightTube 04, {x:1.71, y:0.14, z:0.13}
    PlanetFloorRed 01, {x:16.00, y:16.00, z:0.24}
    MetalRoof 1Edge, {x:4.00, y:4.00, z:0.70}
    JunglePlant 06, {x:1.27, y:1.33, z:0.84}
    MetalStairs Corner, {x:4.12, y:4.12, z:5.15}
    Canopy 01, {x:4.24, y:4.67, z:4.27}
    ThankYou, {x:0.92, y:0.07, z:0.45}
    PinkBoardsWindow, {x:2.00, y:0.40, z:4.00}
    Blue Pillow, {x:0.00, y:0.00, z:0.00}
    Barrel 2, {x:0.72, y:1.00, z:0.97}
    Crate 03, {x:0.89, y:0.84, z:0.90}
    SkirtingBoard 03, {x:1.00, y:0.02, z:0.12}
    GirlForestStatue 01, {x:3.86, y:3.03, z:3.99}
    HWN20 Spider 03, {x:0.05, y:0.07, z:0.04}
    Road Cross Short, {x:4.03, y:4.00, z:0.04}
    Stone Dark Pebbles, {x:1.00, y:1.00, z:1.00}
    ChineseFireworks 02, {x:0.23, y:0.16, z:1.16}
    GreenRoof Corner Small, {x:2.00, y:2.00, z:0.70}
    HWN20 Candle 08, {x:0.23, y:0.27, z:0.28}
    HWN20 Tree 03, {x:3.15, y:4.23, z:4.61}
    Map 01, {x:0.12, y:0.61, z:0.13}
    Factory Light Tube, {x:0.68, y:16.65, z:0.72}
    Deck 5M V02, {x:5.10, y:2.19, z:3.71}
    Ceiling Lamp 01, {x:0.60, y:0.63, z:3.08}
    Lamp Red, {x:0.31, y:0.96, z:0.40}
    HWN20 Candle 20, {x:0.14, y:0.16, z:0.26}
    Vegetation 09, {x:1.55, y:1.32, z:0.79}
    Carpet 03, {x:3.45, y:2.00, z:0.02}
    Bench 01, {x:2.26, y:0.62, z:0.56}
    RubberTire 01, {x:0.89, y:0.26, z:0.89}
    Neon Tube Blue, {x:0.50, y:0.08, z:0.08}
    TileFloor Small, {x:2.00, y:2.00, z:0.01}
    RedFloor Small, {x:2.00, y:2.00, z:0.01}
    Door Marco Wide, {x:2.24, y:0.18, z:2.43}
    GreenHouse 01, {x:9.23, y:9.23, z:4.60}
    ConstructionFence 01, {x:1.03, y:1.94, z:1.10}
    PlantPot 03, {x:0.51, y:1.14, z:0.51}
    PurpleRoof 1Edge, {x:4.00, y:4.00, z:0.70}
    Neon Tube Red, {x:0.50, y:0.08, z:0.08}
    PurpleRoof, {x:4.00, y:4.00, z:0.20}
    Planet 05, {x:4.48, y:4.45, z:4.29}
    BrickDoorframe, {x:2.00, y:0.42, z:4.00}
    WhiteRoof, {x:4.00, y:4.00, z:0.20}
    Grafitti Wall Short A, {x:2.00, y:0.60, z:2.00}
    Grass 2, {x:2.35, y:1.96, z:0.97}
    Table 4, {x:1.12, y:1.50, z:0.59}
    Fire Hydrant Blue, {x:0.48, y:0.41, z:0.69}
    RedFloor, {x:4.00, y:4.00, z:0.01}
    LightBlock 01, {x:0.42, y:1.25, z:0.13}
    Pot 02, {x:0.51, y:0.51, z:0.51}
    GlassRoof 4Edges, {x:4.00, y:4.00, z:0.70}
    FloorSciFiPanel 03, {x:2.00, y:2.00, z:0.01}
    PlantDoorframe, {x:2.00, y:0.48, z:4.00}
    FloorBaseDirt 02, {x:16.00, y:16.00, z:0.02}
    RedRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    Furnit 3 Desk, {x:2.49, y:1.24, z:1.10}
    HWN20 Pumpkin 01, {x:0.61, y:0.60, z:0.75}
    Lamp Yellow, {x:0.31, y:0.96, z:0.40}
    Candle 03, {x:0.28, y:0.28, z:0.52}
    Road Cobble Straight, {x:2.02, y:2.00, z:0.04}
    Cactus 8, {x:1.30, y:1.95, z:3.24}
    WhiteCorner, {x:2.00, y:2.00, z:4.00}
    Window 1x2 V3 Frame, {x:1.41, y:0.48, z:1.75}
    Bottle 10, {x:0.41, y:0.41, z:0.53}
    CircleBase 01, {x:3.50, y:3.56, z:0.38}
    P Red, {x:0.50, y:0.08, z:0.50}
    Bottle 04, {x:0.26, y:0.26, z:0.47}
    GeckoBush 01, {x:0.94, y:1.00, z:1.78}
    Vertical Hallway Door, {x:6.28, y:0.20, z:4.95}
    ArrowCorner, {x:2.04, y:2.04, z:4.00}
    Wall Bookshelf, {x:1.63, y:0.44, z:0.94}
    NavyRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    Bamboo 01, {x:1.12, y:1.17, z:3.46}
    Statue 01, {x:1.22, y:2.74, z:3.44}
    Radioactive Container, {x:0.70, y:0.70, z:0.85}
    Poster7, {x:1.00, y:0.00, z:0.56}
    PlainWhiteFloor Large, {x:4.00, y:4.00, z:0.01}
    Furnit 5 Clock, {x:0.79, y:0.70, z:2.99}
    HWN20 Grave 12, {x:1.25, y:2.22, z:1.26}
    HWN20 Grave 06, {x:0.99, y:1.17, z:1.42}
    YellowRoof, {x:4.00, y:4.00, z:0.20}
    ConstructionSign 01, {x:0.08, y:0.84, z:2.34}
    OrangeWindowLarge, {x:2.00, y:0.40, z:4.00}
    Turret 02, {x:2.85, y:3.05, z:1.18}
    Neon Rectangle Sign, {x:1.20, y:0.04, z:0.50}
    Pipe, {x:0.72, y:2.86, z:0.72}
    Stalagmite 03, {x:0.90, y:0.95, z:2.19}
    PinkRoof 4Edges Small, {x:2.00, y:2.00, z:0.70}
    Train Track Switcher, {x:3.22, y:0.28, z:1.53}
    DarkGreyFloor Small, {x:2.00, y:2.00, z:0.01}
    Logs 1, {x:2.97, y:0.87, z:0.56}
    FencePicketDoor 01, {x:0.06, y:1.81, z:1.76}
    BeigeDoorframe, {x:2.00, y:0.30, z:4.00}
    ChinesePergola 01, {x:5.02, y:5.35, z:2.10}
    E Red, {x:0.50, y:0.08, z:0.50}
    Crystal 02, {x:1.23, y:0.91, z:1.74}
    Deck Railing, {x:0.09, y:1.89, z:1.01}
    Tree Forest Green 02, {x:8.63, y:6.88, z:8.58}
    Stones2, {x:16.00, y:16.00, z:0.02}
    Chandelier 2, {x:0.43, y:0.24, z:0.56}
    BathroomTilesWindow, {x:2.00, y:0.40, z:4.00}
    Axe 2, {x:1.02, y:1.17, z:1.77}
    RockFloor Module 2M, {x:2.26, y:2.37, z:0.01}
    Coco 02, {x:0.28, y:0.34, z:0.19}
    HWN21 PumpkinLeaf 02, {x:0.35, y:0.29, z:0.15}
    Shotgun 2, {x:1.56, y:0.10, z:0.25}
    PurpleWindow, {x:2.00, y:0.40, z:4.00}
    LimeRoof 2Edges Small, {x:2.00, y:2.00, z:0.70}
    Donut Sign, {x:1.00, y:0.03, z:0.53}
    Window 2x4 V3 Closed, {x:1.42, y:0.36, z:2.23}
    HWN20 Spider Net 01, {x:0.50, y:0.06, z:0.50}
    GreenRoof Small, {x:2.00, y:2.00, z:0.20}
